,number_project,average_montly_hours,time_spend_company,left,salary,high,low,medium
139,5,257,5,1,low,0,1,0
140,6,245,4,1,low,0,1,0
141,2,155,3,1,low,0,1,0
142,6,256,4,1,low,0,1,0
143,2,152,3,1,low,0,1,0
144,4,267,5,1,low,0,1,0
145,2,151,3,1,low,0,1,0
146,4,239,5,1,low,0,1,0
147,6,306,4,1,low,0,1,0
148,4,263,5,1,low,0,1,0
149,2,147,3,1,low,0,1,0
150,6,278,4,1,low,0,1,0
151,2,154,3,1,low,0,1,0
152,2,143,3,1,low,0,1,0
153,2,155,3,1,low,0,1,0
154,2,160,3,1,low,0,1,0
155,6,304,4,1,low,0,1,0
156,5,240,5,1,low,0,1,0
157,6,305,4,1,low,0,1,0
158,2,136,3,1,low,0,1,0
159,2,132,3,1,low,0,1,0
160,7,301,4,1,low,0,1,0
161,5,243,6,1,low,0,1,0
162,2,147,3,1,low,0,1,0
163,5,239,5,1,low,0,1,0
164,5,260,5,1,low,0,1,0
165,7,296,4,1,low,0,1,0
166,2,129,3,1,low,0,1,0
167,5,132,5,1,low,0,1,0
168,2,135,5,1,low,0,1,0
169,2,158,3,1,low,0,1,0
170,4,259,5,1,low,0,1,0
171,2,160,3,1,low,0,1,0
172,7,278,4,1,low,0,1,0
173,6,284,4,1,low,0,1,0
174,2,274,4,1,low,0,1,0
175,4,164,2,1,low,0,1,0
176,2,148,3,1,low,0,1,0
177,2,140,3,1,medium,0,0,1
178,2,127,3,1,medium,0,0,1
179,6,308,5,1,medium,0,0,1
180,2,146,3,1,medium,0,0,1
181,6,261,4,1,medium,0,0,1
182,5,257,5,1,medium,0,0,1
183,6,285,4,1,medium,0,0,1
184,2,141,3,1,medium,0,0,1
185,2,127,3,1,medium,0,0,1
186,6,297,4,1,medium,0,0,1
187,2,143,3,1,medium,0,0,1
188,2,152,3,1,medium,0,0,1
189,2,156,3,1,high,1,0,0
190,7,283,5,1,low,0,1,0
191,4,226,6,1,medium,0,0,1
192,4,232,5,1,medium,0,0,1
193,6,249,4,1,medium,0,0,1
194,4,275,5,1,medium,0,0,1
195,6,304,4,1,low,0,1,0
196,7,278,3,1,low,0,1,0
197,6,287,4,1,low,0,1,0
198,7,285,4,1,low,0,1,0
199,5,226,6,1,low,0,1,0
200,5,259,5,1,low,0,1,0
201,2,135,3,1,low,0,1,0
202,5,219,5,1,low,0,1,0
203,6,256,4,1,low,0,1,0
204,5,254,6,1,low,0,1,0
205,2,153,3,1,low,0,1,0
206,5,228,5,1,low,0,1,0
207,4,228,5,1,low,0,1,0
208,2,128,3,1,low,0,1,0
209,2,153,3,1,low,0,1,0
210,2,156,3,1,low,0,1,0
211,4,294,3,1,low,0,1,0
212,5,219,5,1,low,0,1,0
213,2,153,3,1,low,0,1,0
214,2,151,3,1,low,0,1,0
215,2,155,3,1,low,0,1,0
216,2,158,3,1,low,0,1,0
217,5,245,5,1,low,0,1,0
218,2,131,3,1,low,0,1,0
219,5,225,5,1,low,0,1,0
220,6,286,4,1,low,0,1,0
221,2,135,3,1,low,0,1,0
222,2,153,3,1,low,0,1,0
223,5,252,5,1,low,0,1,0
224,2,149,3,1,low,0,1,0
225,4,258,5,1,low,0,1,0
226,2,158,3,1,low,0,1,0
227,2,149,3,1,low,0,1,0
228,5,236,5,1,low,0,1,0
229,5,239,6,1,low,0,1,0
230,2,159,3,1,low,0,1,0
231,5,255,6,1,low,0,1,0
232,6,244,4,1,low,0,1,0
233,2,134,3,1,low,0,1,0
234,4,270,4,1,low,0,1,0
235,4,255,5,1,low,0,1,0
236,2,151,3,1,low,0,1,0
237,2,135,3,1,low,0,1,0
238,2,146,3,1,low,0,1,0
239,7,254,4,1,low,0,1,0
240,7,289,4,1,low,0,1,0
241,2,156,3,1,low,0,1,0
242,2,156,3,1,low,0,1,0
243,2,128,3,1,low,0,1,0
244,5,275,5,1,low,0,1,0
245,2,155,3,1,low,0,1,0
246,2,159,3,1,low,0,1,0
247,2,148,3,1,low,0,1,0
248,4,228,5,1,low,0,1,0
249,6,298,4,1,low,0,1,0
250,5,261,5,1,low,0,1,0
251,5,254,6,1,low,0,1,0
252,7,192,3,1,low,0,1,0
253,4,248,5,1,low,0,1,0
254,2,258,5,1,low,0,1,0
255,2,156,3,1,medium,0,0,1
256,6,266,4,1,medium,0,0,1
257,2,156,3,1,medium,0,0,1
258,5,232,5,1,medium,0,0,1
259,6,287,4,1,medium,0,0,1
260,2,154,3,1,medium,0,0,1
261,5,263,5,1,medium,0,0,1
262,2,131,3,1,medium,0,0,1
263,6,260,4,1,medium,0,0,1
264,2,139,3,1,medium,0,0,1
265,4,251,5,1,medium,0,0,1
266,6,286,4,1,medium,0,0,1
267,2,129,3,1,high,1,0,0
268,2,156,3,1,low,0,1,0
269,6,139,6,1,medium,0,0,1
270,2,127,3,1,medium,0,0,1
271,6,251,4,1,medium,0,0,1
272,5,270,5,1,medium,0,0,1
273,6,296,4,1,low,0,1,0
274,6,254,4,1,low,0,1,0
275,5,238,6,1,low,0,1,0
276,6,267,4,1,low,0,1,0
277,5,229,6,1,low,0,1,0
278,6,254,4,1,low,0,1,0
279,4,233,4,1,low,0,1,0
280,6,268,4,1,low,0,1,0
281,3,301,3,1,low,0,1,0
282,5,267,6,1,low,0,1,0
283,6,289,4,1,low,0,1,0
284,2,144,3,1,low,0,1,0
285,2,148,3,1,low,0,1,0
286,6,306,4,1,low,0,1,0
287,6,292,4,1,low,0,1,0
288,5,232,5,1,low,0,1,0
289,2,137,3,1,low,0,1,0
290,2,128,3,1,low,0,1,0
291,5,231,5,1,low,0,1,0
292,2,146,3,1,low,0,1,0
293,6,308,4,1,low,0,1,0
294,6,253,4,1,medium,0,0,1
295,2,146,3,1,medium,0,0,1
296,2,156,3,1,medium,0,0,1
297,2,147,3,1,medium,0,0,1
298,2,136,3,1,medium,0,0,1
299,5,249,5,1,medium,0,0,1
300,2,151,3,1,medium,0,0,1
301,3,278,4,1,medium,0,0,1
302,7,250,5,1,medium,0,0,1
303,2,127,3,1,medium,0,0,1
304,5,255,5,1,medium,0,0,1
305,2,135,3,1,medium,0,0,1
306,2,149,3,1,high,1,0,0
307,5,287,4,1,low,0,1,0
308,2,145,3,1,medium,0,0,1
309,6,285,4,1,medium,0,0,1
310,7,305,4,1,medium,0,0,1
311,7,300,4,1,medium,0,0,1
312,2,139,3,1,low,0,1,0
313,2,130,3,1,low,0,1,0
314,6,268,4,1,low,0,1,0
315,4,245,6,1,low,0,1,0
316,2,135,3,1,low,0,1,0
317,2,153,3,1,low,0,1,0
318,6,276,4,1,low,0,1,0
319,2,130,3,1,low,0,1,0
320,2,153,3,1,low,0,1,0
321,5,244,5,1,low,0,1,0
322,2,253,3,1,low,0,1,0
323,7,287,4,1,low,0,1,0
324,2,131,3,1,low,0,1,0
325,2,135,3,1,low,0,1,0
326,2,157,3,1,low,0,1,0
327,5,262,6,1,low,0,1,0
328,6,266,4,1,low,0,1,0
329,2,148,3,1,low,0,1,0
330,2,140,3,1,low,0,1,0
331,7,302,4,1,low,0,1,0
332,6,271,4,1,low,0,1,0
333,2,145,3,1,medium,0,0,1
334,6,290,4,1,medium,0,0,1
335,2,151,3,1,medium,0,0,1
336,5,266,5,1,medium,0,0,1
337,2,140,3,1,medium,0,0,1
338,2,142,3,1,medium,0,0,1
339,6,246,4,1,medium,0,0,1
340,7,308,5,1,medium,0,0,1
341,2,141,3,1,medium,0,0,1
342,5,232,5,1,medium,0,0,1
343,2,143,3,1,medium,0,0,1
344,2,155,3,1,medium,0,0,1
345,6,278,4,1,high,1,0,0
346,4,253,5,1,low,0,1,0
347,6,282,4,1,medium,0,0,1
348,7,264,4,1,medium,0,0,1
349,2,149,3,1,medium,0,0,1
350,6,304,5,1,medium,0,0,1
351,3,219,6,1,low,0,1,0
352,4,262,6,1,low,0,1,0
353,2,135,3,1,low,0,1,0
354,6,219,5,1,low,0,1,0
355,2,136,3,1,low,0,1,0
356,2,154,3,1,low,0,1,0
357,2,149,3,1,low,0,1,0
358,6,135,5,1,low,0,1,0
359,6,275,4,1,low,0,1,0
360,6,290,4,1,low,0,1,0
361,4,263,5,1,low,0,1,0
362,2,145,3,1,low,0,1,0
363,5,267,5,1,low,0,1,0
364,2,141,3,1,low,0,1,0
365,4,235,5,1,low,0,1,0
366,6,258,4,1,low,0,1,0
367,2,131,3,1,low,0,1,0
368,5,243,5,1,low,0,1,0
369,6,266,4,1,low,0,1,0
370,2,142,3,1,low,0,1,0
371,2,135,3,1,low,0,1,0
372,2,141,3,1,medium,0,0,1
373,2,142,3,1,medium,0,0,1
374,5,254,5,1,medium,0,0,1
375,5,262,5,1,medium,0,0,1
376,4,296,2,1,medium,0,0,1
377,2,158,3,1,medium,0,0,1
378,4,238,2,1,medium,0,0,1
379,4,231,5,1,medium,0,0,1
380,2,156,3,1,medium,0,0,1
381,2,145,3,1,medium,0,0,1
382,2,144,3,1,medium,0,0,1
383,2,159,3,1,medium,0,0,1
384,2,156,3,1,high,1,0,0
385,5,256,5,1,low,0,1,0
386,6,298,4,1,medium,0,0,1
387,6,247,4,1,medium,0,0,1
388,2,157,3,1,medium,0,0,1
389,2,154,3,1,medium,0,0,1
390,4,253,5,1,low,0,1,0
391,2,148,3,1,low,0,1,0
392,4,261,5,1,low,0,1,0
393,6,282,4,1,low,0,1,0
394,2,133,3,1,low,0,1,0
395,2,128,3,1,low,0,1,0
396,2,139,3,1,low,0,1,0
397,6,293,5,1,low,0,1,0
398,4,265,6,1,low,0,1,0
399,6,250,4,1,low,0,1,0
400,5,251,6,1,low,0,1,0
401,4,246,5,1,low,0,1,0
402,5,275,5,1,low,0,1,0
403,5,240,5,1,low,0,1,0
404,5,245,5,1,low,0,1,0
405,4,254,4,1,low,0,1,0
406,5,241,5,1,low,0,1,0
407,6,257,4,1,low,0,1,0
408,4,246,5,1,low,0,1,0
409,4,233,5,1,low,0,1,0
410,6,218,4,1,low,0,1,0
411,4,262,6,1,medium,0,0,1
412,2,138,3,1,medium,0,0,1
413,2,142,3,1,medium,0,0,1
414,5,233,5,1,medium,0,0,1
415,2,155,3,1,medium,0,0,1
416,4,229,6,1,medium,0,0,1
417,6,264,4,1,medium,0,0,1
418,3,199,4,1,medium,0,0,1
419,4,223,5,1,medium,0,0,1
420,6,268,4,1,medium,0,0,1
421,6,287,4,1,medium,0,0,1
422,5,257,5,1,medium,0,0,1
423,2,143,3,1,high,1,0,0
424,2,130,3,1,low,0,1,0
425,2,136,3,1,medium,0,0,1
426,4,261,5,1,medium,0,0,1
427,3,180,4,1,medium,0,0,1
428,2,126,3,1,medium,0,0,1
429,2,127,3,1,low,0,1,0
430,5,195,6,1,low,0,1,0
431,2,160,3,1,low,0,1,0
432,2,150,3,1,low,0,1,0
433,4,264,6,1,low,0,1,0
434,6,309,4,1,low,0,1,0
435,2,135,3,1,low,0,1,0
436,6,261,4,1,low,0,1,0
437,2,160,3,1,low,0,1,0
438,4,237,5,1,low,0,1,0
439,2,136,3,1,low,0,1,0
440,2,139,3,1,low,0,1,0
441,2,151,4,1,low,0,1,0
442,5,229,5,1,low,0,1,0
443,5,245,5,1,low,0,1,0
444,2,127,3,1,low,0,1,0
445,6,283,5,1,low,0,1,0
446,2,143,3,1,low,0,1,0
447,5,298,4,1,low,0,1,0
448,2,159,3,1,low,0,1,0
449,5,239,5,1,low,0,1,0
450,4,226,5,1,medium,0,0,1
451,5,248,5,1,medium,0,0,1
452,6,286,4,1,medium,0,0,1
453,2,145,3,1,medium,0,0,1
454,7,254,4,1,medium,0,0,1
455,2,127,3,1,medium,0,0,1
456,5,223,5,1,medium,0,0,1
457,4,255,5,1,medium,0,0,1
458,2,136,3,1,medium,0,0,1
459,2,137,3,1,medium,0,0,1
460,2,135,3,1,medium,0,0,1
461,2,137,3,1,medium,0,0,1
462,3,255,5,1,high,1,0,0
463,4,273,5,1,low,0,1,0
464,5,234,5,1,medium,0,0,1
465,2,152,3,1,medium,0,0,1
466,2,134,3,1,medium,0,0,1
467,6,292,4,1,medium,0,0,1
468,5,245,5,1,low,0,1,0
469,2,159,3,1,low,0,1,0
470,6,260,4,1,low,0,1,0
471,2,149,3,1,low,0,1,0
472,5,266,5,1,low,0,1,0
473,2,149,3,1,low,0,1,0
474,5,242,5,1,low,0,1,0
475,2,134,3,1,low,0,1,0
476,5,271,4,1,low,0,1,0
477,6,275,4,1,low,0,1,0
478,5,227,5,1,low,0,1,0
479,7,277,5,1,low,0,1,0
480,2,151,3,1,low,0,1,0
481,6,274,4,1,low,0,1,0
482,4,242,6,1,low,0,1,0
483,2,143,3,1,low,0,1,0
484,2,145,3,1,low,0,1,0
485,5,172,2,1,low,0,1,0
486,2,135,3,1,low,0,1,0
487,4,192,4,1,low,0,1,0
488,7,276,4,1,low,0,1,0
489,4,206,4,1,medium,0,0,1
490,4,281,6,1,medium,0,0,1
491,2,151,3,1,medium,0,0,1
492,6,244,4,1,medium,0,0,1
493,6,309,4,1,medium,0,0,1
494,5,218,5,1,medium,0,0,1
495,4,263,6,1,medium,0,0,1
496,6,244,4,1,medium,0,0,1
497,7,263,4,1,medium,0,0,1
498,2,143,3,1,medium,0,0,1
499,2,181,5,1,medium,0,0,1
500,5,265,5,1,medium,0,0,1
501,5,161,5,1,high,1,0,0
502,7,282,5,1,low,0,1,0
503,2,155,3,1,medium,0,0,1
504,4,217,6,1,medium,0,0,1
505,6,289,5,1,medium,0,0,1
506,4,259,5,1,medium,0,0,1
507,2,158,3,1,low,0,1,0
508,2,158,3,1,low,0,1,0
509,2,155,3,1,low,0,1,0
510,2,146,3,1,low,0,1,0
511,2,164,5,1,low,0,1,0
512,6,259,4,1,low,0,1,0
513,6,293,4,1,low,0,1,0
514,5,275,5,1,low,0,1,0
515,5,219,6,1,low,0,1,0
516,6,247,4,1,low,0,1,0
517,7,309,4,1,low,0,1,0
518,2,151,3,1,low,0,1,0
519,2,129,3,1,low,0,1,0
520,4,274,5,1,low,0,1,0
521,4,233,5,1,low,0,1,0
522,7,289,4,1,low,0,1,0
523,4,239,6,1,low,0,1,0
524,5,221,5,1,low,0,1,0
525,2,150,3,1,low,0,1,0
526,2,144,3,1,low,0,1,0
527,7,289,4,1,low,0,1,0
528,6,301,5,1,medium,0,0,1
529,2,145,3,1,medium,0,0,1
530,2,137,3,1,medium,0,0,1
531,2,131,3,1,medium,0,0,1
532,6,246,4,1,medium,0,0,1
533,2,136,3,1,medium,0,0,1
534,5,240,6,1,medium,0,0,1
535,2,156,3,1,medium,0,0,1
536,6,305,4,1,medium,0,0,1
537,2,154,3,1,medium,0,0,1
538,5,261,5,1,medium,0,0,1
539,7,244,4,1,medium,0,0,1
540,2,129,3,1,high,1,0,0
541,4,254,5,1,low,0,1,0
542,5,236,5,1,medium,0,0,1
543,5,237,5,1,medium,0,0,1
544,2,135,3,1,medium,0,0,1
545,5,236,5,1,medium,0,0,1
546,2,149,3,1,low,0,1,0
547,2,141,3,1,low,0,1,0
548,4,270,5,1,low,0,1,0
549,2,138,3,1,low,0,1,0
550,6,298,4,1,low,0,1,0
551,5,254,5,1,low,0,1,0
552,5,248,5,1,low,0,1,0
553,5,257,6,1,low,0,1,0
554,2,150,3,1,low,0,1,0
555,7,281,4,1,low,0,1,0
556,2,141,3,1,low,0,1,0
557,2,157,3,1,low,0,1,0
558,2,136,3,1,low,0,1,0
559,7,296,4,1,low,0,1,0
560,6,279,4,1,low,0,1,0
561,2,131,3,1,low,0,1,0
562,2,160,3,1,low,0,1,0
563,7,291,4,1,low,0,1,0
564,2,157,3,1,low,0,1,0
565,3,294,4,1,low,0,1,0
566,7,310,4,1,low,0,1,0
567,6,282,4,1,medium,0,0,1
568,2,134,3,1,medium,0,0,1
569,4,214,4,1,medium,0,0,1
570,2,137,3,1,medium,0,0,1
571,4,252,5,1,medium,0,0,1
572,5,243,6,1,medium,0,0,1
573,2,148,3,1,medium,0,0,1
574,2,151,3,1,medium,0,0,1
575,2,129,3,1,medium,0,0,1
576,2,198,2,1,medium,0,0,1
577,4,275,6,1,medium,0,0,1
578,5,243,5,1,medium,0,0,1
579,2,159,3,1,high,1,0,0
580,2,145,3,1,low,0,1,0
581,5,242,5,1,medium,0,0,1
582,5,242,5,1,medium,0,0,1
583,2,145,3,1,medium,0,0,1
584,2,154,3,1,medium,0,0,1
585,2,139,3,1,low,0,1,0
586,2,152,3,1,low,0,1,0
587,2,211,3,1,low,0,1,0
588,5,258,5,1,low,0,1,0
589,2,155,3,1,low,0,1,0
590,2,148,3,1,low,0,1,0
591,2,255,3,1,low,0,1,0
592,6,264,4,1,low,0,1,0
593,2,132,3,1,low,0,1,0
594,6,255,4,1,low,0,1,0
595,5,263,4,1,low,0,1,0
596,5,222,5,1,low,0,1,0
597,6,263,4,1,low,0,1,0
598,2,157,3,1,low,0,1,0
599,7,307,4,1,low,0,1,0
600,5,259,6,1,low,0,1,0
601,5,222,6,1,low,0,1,0
602,7,250,4,1,low,0,1,0
603,5,245,5,1,low,0,1,0
604,6,292,4,1,low,0,1,0
605,5,252,5,1,low,0,1,0
606,2,161,3,1,medium,0,0,1
607,5,250,4,1,medium,0,0,1
608,2,134,3,1,medium,0,0,1
609,7,279,4,1,medium,0,0,1
610,7,256,4,1,medium,0,0,1
611,2,127,3,1,medium,0,0,1
612,2,138,3,1,medium,0,0,1
613,5,243,5,1,medium,0,0,1
614,7,296,4,1,medium,0,0,1
615,7,267,4,1,medium,0,0,1
616,2,144,3,1,medium,0,0,1
617,4,251,5,1,medium,0,0,1
618,2,148,3,1,high,1,0,0
619,2,141,3,1,low,0,1,0
620,3,268,2,1,medium,0,0,1
621,6,247,4,1,medium,0,0,1
622,2,247,4,1,medium,0,0,1
623,2,146,3,1,medium,0,0,1
624,2,140,3,1,low,0,1,0
625,5,263,6,1,low,0,1,0
626,2,145,3,1,low,0,1,0
627,2,156,3,1,low,0,1,0
628,5,244,6,1,low,0,1,0
629,2,144,3,1,low,0,1,0
630,7,286,4,1,low,0,1,0
631,4,141,2,1,low,0,1,0
632,6,260,5,1,low,0,1,0
633,2,154,3,1,low,0,1,0
634,5,225,5,1,low,0,1,0
635,2,127,3,1,low,0,1,0
636,2,140,3,1,low,0,1,0
637,2,147,3,1,low,0,1,0
638,4,227,5,1,low,0,1,0
639,2,153,3,1,low,0,1,0
640,2,128,3,1,low,0,1,0
641,4,228,5,1,low,0,1,0
642,5,235,5,1,low,0,1,0
643,2,148,3,1,low,0,1,0
644,4,238,3,1,low,0,1,0
645,2,141,3,1,medium,0,0,1
646,5,249,4,1,medium,0,0,1
647,2,151,3,1,medium,0,0,1
648,2,129,3,1,medium,0,0,1
649,2,156,3,1,medium,0,0,1
650,2,134,3,1,medium,0,0,1
651,6,269,4,1,medium,0,0,1
652,6,290,4,1,medium,0,0,1
653,2,132,3,1,medium,0,0,1
654,7,308,4,1,medium,0,0,1
655,4,232,5,1,medium,0,0,1
656,5,235,5,1,medium,0,0,1
657,2,130,3,1,high,1,0,0
658,2,146,3,1,low,0,1,0
659,5,221,6,1,medium,0,0,1
660,2,130,3,1,medium,0,0,1
661,2,136,3,1,medium,0,0,1
662,5,274,6,1,medium,0,0,1
663,6,256,5,1,low,0,1,0
664,5,276,4,1,low,0,1,0
665,5,267,5,1,low,0,1,0
666,6,213,3,1,low,0,1,0
667,4,274,6,1,low,0,1,0
668,6,258,4,1,low,0,1,0
669,3,153,5,1,low,0,1,0
670,6,245,4,1,low,0,1,0
671,6,264,4,1,low,0,1,0
672,2,154,3,1,low,0,1,0
673,2,149,3,1,low,0,1,0
674,2,157,3,1,low,0,1,0
675,2,127,3,1,low,0,1,0
676,6,270,4,1,low,0,1,0
677,5,236,6,1,low,0,1,0
678,2,158,3,1,low,0,1,0
679,5,229,5,1,low,0,1,0
680,6,269,4,1,low,0,1,0
681,2,128,3,1,low,0,1,0
682,7,278,4,1,low,0,1,0
683,3,158,5,1,low,0,1,0
684,3,202,3,1,medium,0,0,1
685,4,240,5,1,medium,0,0,1
686,7,255,4,1,medium,0,0,1
687,7,254,4,1,medium,0,0,1
688,6,257,4,1,medium,0,0,1
689,4,228,5,1,medium,0,0,1
690,2,145,3,1,medium,0,0,1
691,3,218,4,1,medium,0,0,1
692,5,268,5,1,medium,0,0,1
693,6,278,4,1,medium,0,0,1
694,3,249,5,1,medium,0,0,1
695,3,236,4,1,medium,0,0,1
696,7,291,4,1,high,1,0,0
697,6,306,4,1,low,0,1,0
698,2,135,3,1,medium,0,0,1
699,2,156,3,1,medium,0,0,1
700,2,143,3,1,medium,0,0,1
701,4,243,5,1,medium,0,0,1
702,2,147,3,1,low,0,1,0
703,2,159,3,1,low,0,1,0
704,5,216,3,1,low,0,1,0
705,2,152,3,1,low,0,1,0
706,4,226,5,1,low,0,1,0
707,5,271,5,1,low,0,1,0
708,6,255,4,1,low,0,1,0
709,2,140,3,1,low,0,1,0
710,6,252,2,1,low,0,1,0
711,2,159,3,1,low,0,1,0
712,5,270,5,1,low,0,1,0
713,5,232,5,1,low,0,1,0
714,2,144,3,1,low,0,1,0
715,2,127,3,1,low,0,1,0
716,2,131,3,1,low,0,1,0
717,6,243,4,1,low,0,1,0
718,5,244,6,1,low,0,1,0
719,5,260,5,1,low,0,1,0
720,2,139,3,1,low,0,1,0
721,4,184,3,1,low,0,1,0
722,2,130,3,1,low,0,1,0
723,2,135,3,1,medium,0,0,1
724,2,146,3,1,medium,0,0,1
725,2,149,3,1,medium,0,0,1
726,2,153,3,1,medium,0,0,1
727,2,160,3,1,medium,0,0,1
728,2,160,3,1,medium,0,0,1
729,6,282,4,1,medium,0,0,1
730,2,128,3,1,medium,0,0,1
731,4,232,5,1,medium,0,0,1
732,3,226,2,1,medium,0,0,1
733,2,129,3,1,medium,0,0,1
734,7,255,4,1,medium,0,0,1
735,5,258,5,1,high,1,0,0
736,4,229,5,1,low,0,1,0
737,2,143,3,1,medium,0,0,1
738,6,257,4,1,medium,0,0,1
739,7,275,4,1,medium,0,0,1
740,7,291,4,1,medium,0,0,1
741,5,153,4,1,low,0,1,0
742,2,154,3,1,low,0,1,0
743,6,301,4,1,low,0,1,0
744,2,134,3,1,low,0,1,0
745,6,245,4,1,low,0,1,0
746,2,132,3,1,low,0,1,0
747,2,130,3,1,low,0,1,0
748,2,127,3,1,low,0,1,0
749,4,246,6,1,low,0,1,0
750,2,145,3,1,low,0,1,0
751,2,138,3,1,low,0,1,0
752,2,129,3,1,low,0,1,0
753,2,150,3,1,low,0,1,0
754,5,253,5,1,low,0,1,0
755,2,160,3,1,low,0,1,0
756,5,235,5,1,low,0,1,0
757,2,151,3,1,low,0,1,0
758,2,127,3,1,low,0,1,0
